Precinct,,,,Electionwide,"JULIÁN CASTRO
(DEM) ",,"MICHAEL A. ELLINGER
(DEM) ",,"ELIZABETH WARREN
(DEM) ",,,"MARIANNE WILLIAMSON
(DEM) ",,"ANDREW YANG
(DEM) ",,,"ROQUE ""ROCKY "" DE LA FUENTE III
(DEM) ",,"JOHN K. DELANEY
(DEM) ",,"AMY KLOBUCHAR
(DEM) ",,"BERNIE SANDERS
(DEM) ",,"JOE SESTAK
(DEM) ",,"TOM STEYER
(DEM) ",,"DEVAL PATRICK
(DEM) ",,"MICHAEL BENNET
(DEM) ",,"MICHAEL R. BLOOMBERG
(DEM) ",,"MOSIE BOYD
(DEM) ",,"CORY BOOKER
(DEM) ",,"PETE BUTTIGIEG
(DEM) ",,"JOSEPH R. BIDEN
(DEM) ",,"TULSI GABBARD
(DEM) ",,"MARK STEWART GREENSTEIN
(DEM) ",,"Write-in
 ",,Total Votes,,,,,,,,,,,,,,,
Vote by Mail,423,"3,038",,Vote by Mail,0,0.00%,0,0.00%,36,8.85%,,0,0.00%,4,0.98%,,1,0.25%,0,0.00%,14,3.44%,97,23.83%,0,0.00%,13,3.19%,0,0.00%,0,0.00%,71,17.44%,0,0.00%,0,0.00%,33,8.11%,136,33.42%,2,0.49%,0,0.00%,0,0.00%,407,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,512,"3,038",,Total,0,0.00%,0,0.00%,42,8.48%,,1,0.20%,5,1.01%,,2,0.40%,0,0.00%,16,3.23%,135,27.27%,0,0.00%,13,2.63%,0,0.00%,0,0.00%,77,15.56%,0,0.00%,0,0.00%,34,6.87%,168,33.94%,2,0.40%,0,0.00%,0,0.00%,495,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000169,,,,0000169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,62,"2,502",,Polling,0,0.00%,1,1.61%,9,14.52%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,21,33.87%,0,0.00%,1,1.61%,0,0.00%,0,0.00%,2,3.23%,0,0.00%,0,0.00%,0,0.00%,28,45.16%,0,0.00%,0,0.00%,0,0.00%,62,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,403,"2,502",,Vote by Mail,0,0.00%,0,0.00%,53,13.52%,,0,0.00%,5,1.28%,,0,0.00%,0,0.00%,29,7.40%,91,23.21%,1,0.26%,14,3.57%,0,0.00%,1,0.26%,52,13.27%,0,0.00%,0,0.00%,23,5.87%,120,30.61%,3,0.77%,0,0.00%,0,0.00%,392,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,465,"2,502",,Total,0,0.00%,1,0.22%,62,13.66%,,0,0.00%,5,1.10%,,0,0.00%,0,0.00%,29,6.39%,112,24.67%,1,0.22%,15,3.30%,0,0.00%,1,0.22%,54,11.89%,0,0.00%,0,0.00%,23,5.07%,148,32.60%,3,0.66%,0,0.00%,0,0.00%,454,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000170,,,,0000170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,50,"1,488",,Polling,0,0.00%,0,0.00%,7,14.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,1,2.00%,25,50.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,6.00%,0,0.00%,0,0.00%,0,0.00%,14,28.00%,0,0.00%,0,0.00%,0,0.00%,50,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,196,"1,488",,Vote by Mail,0,0.00%,0,0.00%,23,12.11%,,1,0.53%,3,1.58%,,0,0.00%,0,0.00%,7,3.68%,58,30.53%,1,0.53%,7,3.68%,0,0.00%,0,0.00%,34,17.89%,0,0.00%,0,0.00%,5,2.63%,50,26.32%,1,0.53%,0,0.00%,0,0.00%,190,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,246,"1,488",,Total,0,0.00%,0,0.00%,30,12.50%,,1,0.42%,3,1.25%,,0,0.00%,0,0.00%,8,3.33%,83,34.58%,1,0.42%,7,2.92%,0,0.00%,0,0.00%,37,15.42%,0,0.00%,0,0.00%,5,2.08%,64,26.67%,1,0.42%,0,0.00%,0,0.00%,240,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000171,,,,0000171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,33,"1,524",,Polling,0,0.00%,0,0.00%,4,12.12%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,16,48.48%,0,0.00%,1,3.03%,0,0.00%,0,0.00%,3,9.09%,0,0.00%,0,0.00%,2,6.06%,7,21.21%,0,0.00%,0,0.00%,0,0.00%,33,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,220,"1,524",,Vote by Mail,0,0.00%,0,0.00%,17,7.87%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,8,3.70%,66,30.56%,0,0.00%,7,3.24%,0,0.00%,0,0.00%,35,16.20%,0,0.00%,0,0.00%,28,12.96%,49,22.69%,6,2.78%,0,0.00%,0,0.00%,216,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,253,"1,524",,Total,0,0.00%,0,0.00%,21,8.43%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,8,3.21%,82,32.93%,0,0.00%,8,3.21%,0,0.00%,0,0.00%,38,15.26%,0,0.00%,0,0.00%,30,12.05%,56,22.49%,6,2.41%,0,0.00%,0,0.00%,249,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000172,,,,0000172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,45,"1,404",,Polling,0,0.00%,0,0.00%,4,9.09%,,0,0.00%,1,2.27%,,0,0.00%,0,0.00%,0,0.00%,17,38.64%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,7,15.91%,0,0.00%,0,0.00%,1,2.27%,12,27.27%,2,4.55%,0,0.00%,0,0.00%,44,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,235,"1,404",,Vote by Mail,2,0.90%,0,0.00%,19,8.52%,,0,0.00%,15,6.73%,,1,0.45%,0,0.00%,9,4.04%,58,26.01%,2,0.90%,16,7.17%,0,0.00%,0,0.00%,34,15.25%,0,0.00%,0,0.00%,6,2.69%,56,25.11%,5,2.24%,0,0.00%,0,0.00%,223,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,280,"1,404",,Total,2,0.75%,0,0.00%,23,8.61%,,0,0.00%,16,5.99%,,1,0.37%,0,0.00%,9,3.37%,75,28.09%,2,0.75%,16,5.99%,0,0.00%,0,0.00%,41,15.36%,0,0.00%,0,0.00%,7,2.62%,68,25.47%,7,2.62%,0,0.00%,0,0.00%,267,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000173,,,,0000173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,38,"1,445",,Polling,0,0.00%,0,0.00%,2,5.26%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,21,55.26%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,7.89%,0,0.00%,0,0.00%,0,0.00%,12,31.58%,0,0.00%,0,0.00%,0,0.00%,38,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,181,"1,445",,Vote by Mail,0,0.00%,1,0.56%,7,3.91%,,0,0.00%,12,6.70%,,0,0.00%,0,0.00%,1,0.56%,69,38.55%,0,0.00%,8,4.47%,0,0.00%,0,0.00%,21,11.73%,0,0.00%,0,0.00%,13,7.26%,43,24.02%,4,2.23%,0,0.00%,0,0.00%,179,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,219,"1,445",,Total,0,0.00%,1,0.46%,9,4.15%,,0,0.00%,12,5.53%,,0,0.00%,0,0.00%,1,0.46%,90,41.47%,0,0.00%,8,3.69%,0,0.00%,0,0.00%,24,11.06%,0,0.00%,0,0.00%,13,5.99%,55,25.35%,4,1.84%,0,0.00%,0,0.00%,217,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000174,,,,0000174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,55,"1,375",,Polling,0,0.00%,0,0.00%,5,9.80%,,0,0.00%,1,1.96%,,0,0.00%,0,0.00%,0,0.00%,22,43.14%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,5.88%,0,0.00%,0,0.00%,0,0.00%,20,39.22%,0,0.00%,0,0.00%,0,0.00%,51,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,211,"1,375",,Vote by Mail,0,0.00%,1,0.49%,15,7.35%,,0,0.00%,8,3.92%,,2,0.98%,2,0.98%,4,1.96%,78,38.24%,0,0.00%,18,8.82%,0,0.00%,0,0.00%,16,7.84%,0,0.00%,0,0.00%,10,4.90%,50,24.51%,0,0.00%,0,0.00%,0,0.00%,204,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,266,"1,375",,Total,0,0.00%,1,0.39%,20,7.84%,,0,0.00%,9,3.53%,,2,0.78%,2,0.78%,4,1.57%,100,39.22%,0,0.00%,18,7.06%,0,0.00%,0,0.00%,19,7.45%,0,0.00%,0,0.00%,10,3.92%,70,27.45%,0,0.00%,0,0.00%,0,0.00%,255,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000175,,,,0000175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,1,63,,Polling,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,100.00%,0,0.00%,0,0.00%,0,0.00%,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,23,63,,Vote by Mail,0,0.00%,0,0.00%,4,17.39%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,3,13.04%,0,0.00%,1,4.35%,0,0.00%,0,0.00%,6,26.09%,0,0.00%,0,0.00%,0,0.00%,9,39.13%,0,0.00%,0,0.00%,0,0.00%,23,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,24,63,,Total,0,0.00%,0,0.00%,4,16.67%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,3,12.50%,0,0.00%,1,4.17%,0,0.00%,0,0.00%,6,25.00%,0,0.00%,0,0.00%,0,0.00%,10,41.67%,0,0.00%,0,0.00%,0,0.00%,24,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000176,,,,0000176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,70,"2,021",,Polling,2,2.86%,0,0.00%,7,10.00%,,0,0.00%,3,4.29%,,0,0.00%,0,0.00%,0,0.00%,37,52.86%,0,0.00%,1,1.43%,0,0.00%,0,0.00%,5,7.14%,0,0.00%,0,0.00%,1,1.43%,14,20.00%,0,0.00%,0,0.00%,0,0.00%,70,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,408,"2,021",,Vote by Mail,0,0.00%,0,0.00%,19,4.83%,,0,0.00%,5,1.27%,,0,0.00%,0,0.00%,6,1.53%,135,34.35%,0,0.00%,20,5.09%,0,0.00%,2,0.51%,48,12.21%,0,0.00%,2,0.51%,18,4.58%,137,34.86%,1,0.25%,0,0.00%,0,0.00%,393,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,478,"2,021",,Total,2,0.43%,0,0.00%,26,5.62%,,0,0.00%,8,1.73%,,0,0.00%,0,0.00%,6,1.30%,172,37.15%,0,0.00%,21,4.54%,0,0.00%,2,0.43%,53,11.45%,0,0.00%,2,0.43%,19,4.10%,151,32.61%,1,0.22%,0,0.00%,0,0.00%,463,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000177,,,,0000177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,73,"2,097",,Polling,1,1.37%,0,0.00%,6,8.22%,,1,1.37%,2,2.74%,,0,0.00%,0,0.00%,0,0.00%,39,53.42%,0,0.00%,1,1.37%,0,0.00%,0,0.00%,2,2.74%,0,0.00%,1,1.37%,0,0.00%,20,27.40%,0,0.00%,0,0.00%,0,0.00%,73,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,322,"2,097",,Vote by Mail,2,0.63%,0,0.00%,18,5.68%,,0,0.00%,13,4.10%,,0,0.00%,0,0.00%,5,1.58%,146,46.06%,0,0.00%,12,3.79%,0,0.00%,0,0.00%,34,10.73%,0,0.00%,1,0.32%,9,2.84%,76,23.97%,0,0.00%,0,0.00%,1,0.32%,317,1,0.32%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,395,"2,097",,Total,3,0.77%,0,0.00%,24,6.15%,,1,0.26%,15,3.85%,,0,0.00%,0,0.00%,5,1.28%,185,47.44%,0,0.00%,13,3.33%,0,0.00%,0,0.00%,36,9.23%,0,0.00%,2,0.51%,9,2.31%,96,24.62%,0,0.00%,0,0.00%,1,0.26%,390,1,0.26%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000178,,,,0000178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,3,203,,Polling,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,2,66.67%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,33.33%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,29,203,,Vote by Mail,0,0.00%,0,0.00%,3,11.11%,,0,0.00%,1,3.70%,,0,0.00%,0,0.00%,0,0.00%,8,29.63%,0,0.00%,3,11.11%,0,0.00%,0,0.00%,3,11.11%,0,0.00%,0,0.00%,4,14.81%,5,18.52%,0,0.00%,0,0.00%,0,0.00%,27,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,32,203,,Total,0,0.00%,0,0.00%,3,10.00%,,0,0.00%,1,3.33%,,0,0.00%,0,0.00%,0,0.00%,10,33.33%,0,0.00%,3,10.00%,0,0.00%,0,0.00%,4,13.33%,0,0.00%,0,0.00%,4,13.33%,5,16.67%,0,0.00%,0,0.00%,0,0.00%,30,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000179,,,,0000179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,25,863,,Polling,0,0.00%,0,0.00%,2,8.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,9,36.00%,1,4.00%,0,0.00%,0,0.00%,1,4.00%,4,16.00%,0,0.00%,0,0.00%,0,0.00%,8,32.00%,0,0.00%,0,0.00%,0,0.00%,25,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,145,863,,Vote by Mail,0,0.00%,0,0.00%,2,1.42%,,0,0.00%,12,8.51%,,0,0.00%,0,0.00%,2,1.42%,67,47.52%,0,0.00%,9,6.38%,0,0.00%,1,0.71%,9,6.38%,0,0.00%,0,0.00%,2,1.42%,35,24.82%,2,1.42%,0,0.00%,0,0.00%,141,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,170,863,,Total,0,0.00%,0,0.00%,4,2.41%,,0,0.00%,12,7.23%,,0,0.00%,0,0.00%,2,1.20%,76,45.78%,1,0.60%,9,5.42%,0,0.00%,2,1.20%,13,7.83%,0,0.00%,0,0.00%,2,1.20%,43,25.90%,2,1.20%,0,0.00%,0,0.00%,166,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000180,,,,0000180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,39,"1,282",,Polling,0,0.00%,0,0.00%,2,5.41%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,21,56.76%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,13,35.14%,1,2.70%,0,0.00%,0,0.00%,37,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,203,"1,282",,Vote by Mail,0,0.00%,0,0.00%,18,9.05%,,0,0.00%,6,3.02%,,0,0.00%,0,0.00%,2,1.01%,82,41.21%,0,0.00%,2,1.01%,0,0.00%,0,0.00%,28,14.07%,0,0.00%,0,0.00%,4,2.01%,55,27.64%,2,1.01%,0,0.00%,0,0.00%,199,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,242,"1,282",,Total,0,0.00%,0,0.00%,20,8.47%,,0,0.00%,6,2.54%,,0,0.00%,0,0.00%,2,0.85%,103,43.64%,0,0.00%,2,0.85%,0,0.00%,0,0.00%,28,11.86%,0,0.00%,0,0.00%,4,1.69%,68,28.81%,3,1.27%,0,0.00%,0,0.00%,236,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000181,,,,0000181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,80,"2,135",,Polling,0,0.00%,0,0.00%,4,5.00%,,0,0.00%,0,0.00%,,0,0.00%,1,1.25%,0,0.00%,30,37.50%,0,0.00%,1,1.25%,0,0.00%,0,0.00%,10,12.50%,0,0.00%,1,1.25%,2,2.50%,31,38.75%,0,0.00%,0,0.00%,0,0.00%,80,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,368,"2,135",,Vote by Mail,0,0.00%,0,0.00%,30,8.47%,,0,0.00%,2,0.56%,,0,0.00%,1,0.28%,8,2.26%,111,31.36%,0,0.00%,12,3.39%,0,0.00%,0,0.00%,42,11.86%,0,0.00%,0,0.00%,24,6.78%,117,33.05%,4,1.13%,3,0.85%,0,0.00%,354,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,448,"2,135",,Total,0,0.00%,0,0.00%,34,7.83%,,0,0.00%,2,0.46%,,0,0.00%,2,0.46%,8,1.84%,141,32.49%,0,0.00%,13,3.00%,0,0.00%,0,0.00%,52,11.98%,0,0.00%,1,0.23%,26,5.99%,148,34.10%,4,0.92%,3,0.69%,0,0.00%,434,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000182,,,,0000182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,0,0,,Polling,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Vote by Mail,0,0,,Vote by Mail,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,0,0,,Total,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
0000183,,,,0000183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,0,0,,Polling,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Vote by Mail,0,0,,Vote by Mail,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,0,0,,Total,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
0000184,,,,0000184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,69,"2,039",,Polling,0,0.00%,0,0.00%,9,13.04%,,0,0.00%,1,1.45%,,0,0.00%,0,0.00%,0,0.00%,37,53.62%,0,0.00%,1,1.45%,0,0.00%,0,0.00%,6,8.70%,0,0.00%,0,0.00%,0,0.00%,14,20.29%,1,1.45%,0,0.00%,0,0.00%,69,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,312,"2,039",,Vote by Mail,1,0.32%,0,0.00%,21,6.82%,,0,0.00%,3,0.97%,,0,0.00%,0,0.00%,7,2.27%,115,37.34%,0,0.00%,14,4.55%,0,0.00%,0,0.00%,49,15.91%,0,0.00%,1,0.32%,8,2.60%,88,28.57%,1,0.32%,0,0.00%,0,0.00%,308,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,381,"2,039",,Total,1,0.27%,0,0.00%,30,7.96%,,0,0.00%,4,1.06%,,0,0.00%,0,0.00%,7,1.86%,152,40.32%,0,0.00%,15,3.98%,0,0.00%,0,0.00%,55,14.59%,0,0.00%,1,0.27%,8,2.12%,102,27.06%,2,0.53%,0,0.00%,0,0.00%,377,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000185,,,,0000185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,0,5,,Polling,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Vote by Mail,0,5,,Vote by Mail,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,0,5,,Total,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
0000186,,,,0000186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,11,570,,Polling,0,0.00%,0,0.00%,1,9.09%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,7,63.64%,0,0.00%,0,0.00%,1,9.09%,0,0.00%,2,18.18%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,11,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,53,570,,Vote by Mail,1,2.04%,1,2.04%,2,4.08%,,0,0.00%,1,2.04%,,0,0.00%,0,0.00%,0,0.00%,22,44.90%,0,0.00%,3,6.12%,0,0.00%,1,2.04%,6,12.24%,0,0.00%,0,0.00%,1,2.04%,11,22.45%,0,0.00%,0,0.00%,0,0.00%,49,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,64,570,,Total,1,1.67%,1,1.67%,3,5.00%,,0,0.00%,1,1.67%,,0,0.00%,0,0.00%,0,0.00%,29,48.33%,0,0.00%,3,5.00%,1,1.67%,1,1.67%,8,13.33%,0,0.00%,0,0.00%,1,1.67%,11,18.33%,0,0.00%,0,0.00%,0,0.00%,60,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000187,,,,0000187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,56,"1,227",,Polling,0,0.00%,0,0.00%,1,1.85%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,32,59.26%,0,0.00%,5,9.26%,0,0.00%,0,0.00%,7,12.96%,0,0.00%,0,0.00%,0,0.00%,8,14.81%,1,1.85%,0,0.00%,0,0.00%,54,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,204,"1,227",,Vote by Mail,2,1.01%,0,0.00%,11,5.56%,,0,0.00%,5,2.53%,,0,0.00%,0,0.00%,1,0.51%,83,41.92%,2,1.01%,7,3.54%,0,0.00%,0,0.00%,30,15.15%,0,0.00%,1,0.51%,7,3.54%,49,24.75%,0,0.00%,0,0.00%,0,0.00%,198,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,260,"1,227",,Total,2,0.79%,0,0.00%,12,4.76%,,0,0.00%,5,1.98%,,0,0.00%,0,0.00%,1,0.40%,115,45.63%,2,0.79%,12,4.76%,0,0.00%,0,0.00%,37,14.68%,0,0.00%,1,0.40%,7,2.78%,57,22.62%,1,0.40%,0,0.00%,0,0.00%,252,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000188,,,,0000188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,0,4,,Polling,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
