Electionwide,,,,Electionwide,"JULIÁN CASTRO (DEM) ",,"MICHAEL A. ELLINGER (DEM) ",,"ELIZABETH WARREN (DEM) ",,,"MARIANNE WILLIAMSON (DEM) ",,"ANDREW YANG (DEM) ",,,"ROQUE ""ROCKY"" DE LA FUENTE III (DEM) ",,"JOHN K. DELANEY (DEM) ",,"AMY KLOBUCHAR (DEM) ",,"BERNIE SANDERS (DEM) ",,"JOE SESTAK (DEM) ",,"TOM STEYER (DEM) ",,"DEVAL PATRICK (DEM) ",,"MICHAEL BENNET (DEM) ",,"MICHAEL R. BLOOMBERG (DEM) ",,"MOSIE BOYD (DEM) ",,"CORY BOOKER (DEM) ",,"PETE BUTTIGIEG (DEM) ",,"JOSEPH R. BIDEN (DEM) ",,"TULSI GABBARD (DEM) ",,"MARK STEWART GREENSTEIN (DEM) ",,,,Total Votes,,,,,,,,,,,,,,
Election Day,7,0,,Election Day,0,0.00%,2,1.27%,30,19.11%,,0,0.00%,2,1.27%,,0,0.00%,0,0.00%,1,0.64%,64,40.76%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,13,8.28%,0,0.00%,0,0.00%,0,0.00%,44,28.03%,1,0.64%,0,0.00%,0,0.00%,157,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,11,0,,Total,0,0.00%,2,0.46%,64,14.78%,,0,0.00%,20,4.62%,,0,0.00%,0,0.00%,4,0.92%,179,41.34%,1,0.23%,2,0.46%,0,0.00%,0,0.00%,60,13.86%,0,0.00%,0,0.00%,10,2.31%,89,20.55%,2,0.46%,0,0.00%,0,0.00%,433,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 9437,,,,Pct 9437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,4,0,,Vote by Mail,0,0.00%,0,0.00%,52,20.00%,,0,0.00%,4,1.54%,,0,0.00%,0,0.00%,6,2.31%,104,40.00%,0,0.00%,7,2.69%,0,0.00%,0,0.00%,30,11.54%,0,0.00%,0,0.00%,17,6.54%,39,15.00%,1,0.38%,0,0.00%,0,0.00%,260,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,32,21.05%,,0,0.00%,3,1.97%,,0,0.00%,0,0.00%,0,0.00%,70,46.05%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,10,6.58%,0,0.00%,0,0.00%,0,0.00%,37,24.34%,0,0.00%,0,0.00%,0,0.00%,152,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,4,0,,Total,0,0.00%,0,0.00%,84,20.39%,,0,0.00%,7,1.70%,,0,0.00%,0,0.00%,6,1.46%,174,42.23%,0,0.00%,7,1.70%,0,0.00%,0,0.00%,40,9.71%,0,0.00%,0,0.00%,17,4.13%,76,18.45%,1,0.24%,0,0.00%,0,0.00%,412,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 9438,,,,Pct 9438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,2,0,,Vote by Mail,0,0.00%,0,0.00%,62,21.23%,,0,0.00%,17,5.82%,,0,0.00%,0,0.00%,5,1.71%,98,33.56%,0,0.00%,2,0.68%,0,0.00%,0,0.00%,38,13.01%,0,0.00%,0,0.00%,11,3.77%,57,19.52%,2,0.68%,0,0.00%,0,0.00%,292,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,0,0.00%,13,11.30%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,65,56.52%,0,0.00%,1,0.87%,0,0.00%,0,0.00%,7,6.09%,0,0.00%,0,0.00%,0,0.00%,29,25.22%,0,0.00%,0,0.00%,0,0.00%,115,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,3,0,,Total,0,0.00%,0,0.00%,75,18.43%,,0,0.00%,17,4.18%,,0,0.00%,0,0.00%,5,1.23%,163,40.05%,0,0.00%,3,0.74%,0,0.00%,0,0.00%,45,11.06%,0,0.00%,0,0.00%,11,2.70%,86,21.13%,2,0.49%,0,0.00%,0,0.00%,407,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 9439,,,,Pct 9439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,7,0,,Vote by Mail,0,0.00%,0,0.00%,45,19.82%,,0,0.00%,6,2.64%,,0,0.00%,0,0.00%,5,2.20%,75,33.04%,0,0.00%,6,2.64%,0,0.00%,0,0.00%,31,13.66%,0,0.00%,0,0.00%,10,4.41%,48,21.15%,1,0.44%,0,0.00%,0,0.00%,227,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,0,0.00%,22,17.89%,,0,0.00%,1,0.81%,,0,0.00%,0,0.00%,0,0.00%,50,40.65%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,11,8.94%,0,0.00%,0,0.00%,0,0.00%,39,31.71%,0,0.00%,0,0.00%,0,0.00%,123,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,8,0,,Total,0,0.00%,0,0.00%,67,19.14%,,0,0.00%,7,2.00%,,0,0.00%,0,0.00%,5,1.43%,125,35.71%,0,0.00%,6,1.71%,0,0.00%,0,0.00%,42,12.00%,0,0.00%,0,0.00%,10,2.86%,87,24.86%,1,0.29%,0,0.00%,0,0.00%,350,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 9441,,,,Pct 9441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,6,0,,Vote by Mail,1,0.36%,0,0.00%,47,16.73%,,0,0.00%,9,3.20%,,0,0.00%,0,0.00%,6,2.14%,114,40.57%,0,0.00%,4,1.42%,0,0.00%,0,0.00%,41,14.59%,0,0.00%,0,0.00%,10,3.56%,42,14.95%,7,2.49%,0,0.00%,0,0.00%,281,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,1,,Election Day,0,0.00%,0,0.00%,32,19.51%,,0,0.00%,1,0.61%,,0,0.00%,0,0.00%,0,0.00%,79,48.17%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,11,6.71%,0,0.00%,0,0.00%,1,0.61%,40,24.39%,0,0.00%,0,0.00%,0,0.00%,164,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,6,1,,Total,1,0.22%,0,0.00%,79,17.75%,,0,0.00%,10,2.25%,,0,0.00%,0,0.00%,6,1.35%,193,43.37%,0,0.00%,4,0.90%,0,0.00%,0,0.00%,52,11.69%,0,0.00%,0,0.00%,11,2.47%,82,18.43%,7,1.57%,0,0.00%,0,0.00%,445,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 9442,,,,Pct 9442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,4,0,,Vote by Mail,1,0.37%,0,0.00%,52,19.33%,,0,0.00%,10,3.72%,,1,0.37%,0,0.00%,4,1.49%,113,42.01%,0,0.00%,2,0.74%,1,0.37%,1,0.37%,26,9.67%,0,0.00%,0,0.00%,8,2.97%,50,18.59%,0,0.00%,0,0.00%,0,0.00%,269,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,39,19.80%,,0,0.00%,1,0.51%,,0,0.00%,0,0.00%,0,0.00%,79,40.10%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,16,8.12%,0,0.00%,0,0.00%,0,0.00%,61,30.96%,1,0.51%,0,0.00%,0,0.00%,197,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,4,0,,Total,1,0.21%,0,0.00%,91,19.53%,,0,0.00%,11,2.36%,,1,0.21%,0,0.00%,4,0.86%,192,41.20%,0,0.00%,2,0.43%,1,0.21%,1,0.21%,42,9.01%,0,0.00%,0,0.00%,8,1.72%,111,23.82%,1,0.21%,0,0.00%,0,0.00%,466,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 9443,,,,Pct 9443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,4,0,,Vote by Mail,1,0.35%,0,0.00%,45,15.73%,,0,0.00%,7,2.45%,,1,0.35%,0,0.00%,6,2.10%,117,40.91%,0,0.00%,4,1.40%,0,0.00%,0,0.00%,34,11.89%,0,0.00%,1,0.35%,9,3.15%,59,20.63%,2,0.70%,0,0.00%,0,0.00%,286,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,0,0.00%,33,22.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,61,40.67%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,10,6.67%,0,0.00%,0,0.00%,0,0.00%,46,30.67%,0,0.00%,0,0.00%,0,0.00%,150,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,5,0,,Total,1,0.23%,0,0.00%,78,17.89%,,0,0.00%,7,1.61%,,1,0.23%,0,0.00%,6,1.38%,178,40.83%,0,0.00%,4,0.92%,0,0.00%,0,0.00%,44,10.09%,0,0.00%,1,0.23%,9,2.06%,105,24.08%,2,0.46%,0,0.00%,0,0.00%,436,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 9444,,,,Pct 9444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,4,1,,Vote by Mail,0,0.00%,0,0.00%,39,17.65%,,0,0.00%,9,4.07%,,0,0.00%,0,0.00%,3,1.36%,68,30.77%,0,0.00%,3,1.36%,0,0.00%,0,0.00%,39,17.65%,0,0.00%,0,0.00%,11,4.98%,49,22.17%,0,0.00%,0,0.00%,0,0.00%,221,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,21,15.67%,,0,0.00%,1,0.75%,,0,0.00%,0,0.00%,0,0.00%,78,58.21%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,8,5.97%,0,0.00%,0,0.00%,0,0.00%,25,18.66%,1,0.75%,0,0.00%,0,0.00%,134,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,4,1,,Total,0,0.00%,0,0.00%,60,16.90%,,0,0.00%,10,2.82%,,0,0.00%,0,0.00%,3,0.85%,146,41.13%,0,0.00%,3,0.85%,0,0.00%,0,0.00%,47,13.24%,0,0.00%,0,0.00%,11,3.10%,74,20.85%,1,0.28%,0,0.00%,0,0.00%,355,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 9445,,,,Pct 9445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,7,0,,Vote by Mail,0,0.00%,0,0.00%,55,19.03%,,0,0.00%,13,4.50%,,0,0.00%,0,0.00%,14,4.84%,121,41.87%,0,0.00%,4,1.38%,0,0.00%,0,0.00%,28,9.69%,0,0.00%,0,0.00%,11,3.81%,42,14.53%,1,0.35%,0,0.00%,0,0.00%,289,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,0,0.00%,23,14.29%,,0,0.00%,1,0.62%,,0,0.00%,0,0.00%,0,0.00%,88,54.66%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,17,10.56%,0,0.00%,0,0.00%,0,0.00%,32,19.88%,0,0.00%,0,0.00%,0,0.00%,161,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,8,0,,Total,0,0.00%,0,0.00%,78,17.33%,,0,0.00%,14,3.11%,,0,0.00%,0,0.00%,14,3.11%,209,46.44%,0,0.00%,4,0.89%,0,0.00%,0,0.00%,45,10.00%,0,0.00%,0,0.00%,11,2.44%,74,16.44%,1,0.22%,0,0.00%,0,0.00%,450,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 9446,,,,Pct 9446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,3,0,,Vote by Mail,0,0.00%,0,0.00%,47,14.16%,,2,0.60%,17,5.12%,,0,0.00%,0,0.00%,11,3.31%,111,33.43%,0,0.00%,2,0.60%,1,0.30%,0,0.00%,53,15.96%,0,0.00%,0,0.00%,11,3.31%,73,21.99%,4,1.20%,0,0.00%,0,0.00%,332,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,28,16.00%,,0,0.00%,1,0.57%,,0,0.00%,1,0.57%,0,0.00%,75,42.86%,0,0.00%,1,0.57%,0,0.00%,0,0.00%,12,6.86%,0,0.00%,0,0.00%,1,0.57%,56,32.00%,0,0.00%,0,0.00%,0,0.00%,175,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,3,0,,Total,0,0.00%,0,0.00%,75,14.79%,,2,0.39%,18,3.55%,,0,0.00%,1,0.20%,11,2.17%,186,36.69%,0,0.00%,3,0.59%,1,0.20%,0,0.00%,65,12.82%,0,0.00%,0,0.00%,12,2.37%,129,25.44%,4,0.79%,0,0.00%,0,0.00%,507,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 9447,,,,Pct 9447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,5,1,,Vote by Mail,0,0.00%,0,0.00%,56,19.93%,,0,0.00%,4,1.42%,,0,0.00%,0,0.00%,1,0.36%,104,37.01%,0,0.00%,2,0.71%,0,0.00%,0,0.00%,41,14.59%,0,0.00%,0,0.00%,10,3.56%,60,21.35%,2,0.71%,1,0.36%,0,0.00%,281,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,1,,Election Day,0,0.00%,0,0.00%,35,19.44%,,0,0.00%,1,0.56%,,0,0.00%,0,0.00%,0,0.00%,80,44.44%,0,0.00%,0,0.00%,0,0.00%,1,0.56%,15,8.33%,0,0.00%,0,0.00%,1,0.56%,46,25.56%,1,0.56%,0,0.00%,0,0.00%,180,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,6,2,,Total,0,0.00%,0,0.00%,91,19.74%,,0,0.00%,5,1.08%,,0,0.00%,0,0.00%,1,0.22%,184,39.91%,0,0.00%,2,0.43%,0,0.00%,1,0.22%,56,12.15%,0,0.00%,0,0.00%,11,2.39%,106,22.99%,3,0.65%,1,0.22%,0,0.00%,461,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 9448,,,,Pct 9448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,4,0,,Vote by Mail,0,0.00%,0,0.00%,44,17.67%,,0,0.00%,12,4.82%,,0,0.00%,0,0.00%,4,1.61%,100,40.16%,0,0.00%,2,0.80%,0,0.00%,0,0.00%,26,10.44%,0,0.00%,0,0.00%,10,4.02%,48,19.28%,3,1.20%,0,0.00%,0,0.00%,249,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,0,0.00%,26,15.57%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,90,53.89%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,16,9.58%,0,0.00%,0,0.00%,1,0.60%,33,19.76%,1,0.60%,0,0.00%,0,0.00%,167,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,5,0,,Total,0,0.00%,0,0.00%,70,16.83%,,0,0.00%,12,2.88%,,0,0.00%,0,0.00%,4,0.96%,190,45.67%,0,0.00%,2,0.48%,0,0.00%,0,0.00%,42,10.10%,0,0.00%,0,0.00%,11,2.64%,81,19.47%,4,0.96%,0,0.00%,0,0.00%,416,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 9449,,,,Pct 9449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,3,0,,Vote by Mail,0,0.00%,0,0.00%,43,17.62%,,0,0.00%,9,3.69%,,0,0.00%,0,0.00%,5,2.05%,87,35.66%,0,0.00%,3,1.23%,0,0.00%,0,0.00%,40,16.39%,0,0.00%,0,0.00%,3,1.23%,54,22.13%,0,0.00%,0,0.00%,0,0.00%,244,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,0,0.00%,21,19.44%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,46,42.59%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,9,8.33%,0,0.00%,0,0.00%,0,0.00%,32,29.63%,0,0.00%,0,0.00%,0,0.00%,108,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,4,0,,Total,0,0.00%,0,0.00%,64,18.18%,,0,0.00%,9,2.56%,,0,0.00%,0,0.00%,5,1.42%,133,37.78%,0,0.00%,3,0.85%,0,0.00%,0,0.00%,49,13.92%,0,0.00%,0,0.00%,3,0.85%,86,24.43%,0,0.00%,0,0.00%,0,0.00%,352,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 9451,,,,Pct 9451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,2,0,,Vote by Mail,0,0.00%,0,0.00%,16,13.22%,,0,0.00%,1,0.83%,,0,0.00%,0,0.00%,3,2.48%,33,27.27%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,17,14.05%,0,0.00%,0,0.00%,13,10.74%,34,28.10%,4,3.31%,0,0.00%,0,0.00%,121,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,13,20.63%,,0,0.00%,1,1.59%,,0,0.00%,0,0.00%,0,0.00%,24,38.10%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5,7.94%,0,0.00%,0,0.00%,0,0.00%,20,31.75%,0,0.00%,0,0.00%,0,0.00%,63,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,2,0,,Total,0,0.00%,0,0.00%,29,15.76%,,0,0.00%,2,1.09%,,0,0.00%,0,0.00%,3,1.63%,57,30.98%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,22,11.96%,0,0.00%,0,0.00%,13,7.07%,54,29.35%,4,2.17%,0,0.00%,0,0.00%,184,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 9452,,,,Pct 9452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,5,0,,Vote by Mail,0,0.00%,0,0.00%,58,23.20%,,0,0.00%,3,1.20%,,0,0.00%,0,0.00%,6,2.40%,76,30.40%,0,0.00%,3,1.20%,0,0.00%,0,0.00%,32,12.80%,0,0.00%,0,0.00%,8,3.20%,63,25.20%,1,0.40%,0,0.00%,0,0.00%,250,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,2,1,,Election Day,0,0.00%,0,0.00%,23,13.45%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,65,38.01%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,19,11.11%,0,0.00%,0,0.00%,0,0.00%,63,36.84%,1,0.58%,0,0.00%,0,0.00%,171,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,7,1,,Total,0,0.00%,0,0.00%,81,19.24%,,0,0.00%,3,0.71%,,0,0.00%,0,0.00%,6,1.43%,141,33.49%,0,0.00%,3,0.71%,0,0.00%,0,0.00%,51,12.11%,0,0.00%,0,0.00%,8,1.90%,126,29.93%,2,0.48%,0,0.00%,0,0.00%,421,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 9453,,,,Pct 9453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,1,1,,Vote by Mail,0,0.00%,0,0.00%,27,17.76%,,0,0.00%,7,4.61%,,0,0.00%,0,0.00%,2,1.32%,41,26.97%,0,0.00%,2,1.32%,0,0.00%,0,0.00%,39,25.66%,0,0.00%,0,0.00%,7,4.61%,27,17.76%,0,0.00%,0,0.00%,0,0.00%,152,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,0,0.00%,11,15.71%,,0,0.00%,2,2.86%,,0,0.00%,0,0.00%,0,0.00%,20,28.57%,0,0.00%,1,1.43%,0,0.00%,0,0.00%,4,5.71%,0,0.00%,0,0.00%,0,0.00%,32,45.71%,0,0.00%,0,0.00%,0,0.00%,70,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,2,1,,Total,0,0.00%,0,0.00%,38,17.12%,,0,0.00%,9,4.05%,,0,0.00%,0,0.00%,2,0.90%,61,27.48%,0,0.00%,3,1.35%,0,0.00%,0,0.00%,43,19.37%,0,0.00%,0,0.00%,7,3.15%,59,26.58%,0,0.00%,0,0.00%,0,0.00%,222,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 9501 MB,,,,Pct 9501 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,1,0,,Vote by Mail,0,0.00%,0,0.00%,8,11.43%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,6,8.57%,17,24.29%,0,0.00%,2,2.86%,0,0.00%,1,1.43%,14,20.00%,0,0.00%,0,0.00%,5,7.14%,16,22.86%,1,1.43%,0,0.00%,0,0.00%,70,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,1,20.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,2,40.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,40.00%,0,0.00%,0,0.00%,0,0.00%,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,1,0,,Total,0,0.00%,0,0.00%,9,12.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,6,8.00%,19,25.33%,0,0.00%,2,2.67%,0,0.00%,1,1.33%,14,18.67%,0,0.00%,0,0.00%,5,6.67%,18,24.00%,1,1.33%,0,0.00%,0,0.00%,75,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 9502 MB,,,,Pct 9502 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,0,0,,Vote by Mail,1,0.83%,0,0.00%,34,28.10%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,2,1.65%,43,35.54%,0,0.00%,3,2.48%,0,0.00%,0,0.00%,13,10.74%,0,0.00%,0,0.00%,4,3.31%,20,16.53%,1,0.83%,0,0.00%,0,0.00%,121,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,7,63.64%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,18.18%,0,0.00%,0,0.00%,0,0.00%,2,18.18%,0,0.00%,0,0.00%,0,0.00%,11,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,0,0,,Total,1,0.76%,0,0.00%,34,25.76%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,2,1.52%,50,37.88%,0,0.00%,3,2.27%,0,0.00%,0,0.00%,15,11.36%,0,0.00%,0,0.00%,4,3.03%,22,16.67%,1,0.76%,0,0.00%,0,0.00%,132,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 9503/9504,,,,Pct 9503/9504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,1,0,,Vote by Mail,0,0.00%,0,0.00%,59,25.21%,,0,0.00%,1,0.43%,,0,0.00%,0,0.00%,9,3.85%,70,29.91%,0,0.00%,1,0.43%,0,0.00%,0,0.00%,37,15.81%,0,0.00%,0,0.00%,18,7.69%,37,15.81%,0,0.00%,2,0.85%,0,0.00%,234,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,36,27.27%,,0,0.00%,0,0.00%,,0,0.00%,1,0.76%,1,0.76%,36,27.27%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,8,6.06%,0,0.00%,0,0.00%,0,0.00%,49,37.12%,1,0.76%,0,0.00%,0,0.00%,132,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,1,0,,Total,0,0.00%,0,0.00%,95,25.96%,,0,0.00%,1,0.27%,,0,0.00%,1,0.27%,10,2.73%,106,28.96%,0,0.00%,1,0.27%,0,0.00%,0,0.00%,45,12.30%,0,0.00%,0,0.00%,18,4.92%,86,23.50%,1,0.27%,2,0.55%,0,0.00%,366,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 9505,,,,Pct 9505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
