Precinct,,,,"JULIÁN CASTRO
(DEM) ",,"MICHAEL A. ELLINGER
(DEM) ",,"ELIZABETH WARREN
(DEM) ",,,"MARIANNE WILLIAMSON
(DEM) ",,"ANDREW YANG
(DEM) ",,,"ROQUE ""ROCKY"" DE LA FUENTE III
(DEM) ",,"JOHN K. DELANEY
(DEM) ",,"AMY KLOBUCHAR
(DEM) ",,"BERNIE SANDERS
(DEM) ",,"JOE SESTAK
(DEM) ",,"TOM STEYER
(DEM) ",,"DEVAL PATRICK
(DEM) ",,"MICHAEL BENNET
(DEM) ",,"MICHAEL R. BLOOMBERG
(DEM) ",,"MOSIE BOYD
(DEM) ",,"CORY BOOKER
(DEM) ",,"PETE BUTTIGIEG
(DEM) ",,"JOSEPH R. BIDEN
(DEM) ",,"TULSI GABBARD
(DEM) ",,"MARK STEWART GREENSTEIN
(DEM) ",,Total Votes,,,,,,,,,,,,,,,
Total,651,"1,677",,1,0.16%,0,0.00%,101,15.76%,,1,0.16%,3,0.47%,,0,0.00%,0,0.00%,18,2.81%,251,39.16%,0,0.00%,8,1.25%,0,0.00%,0,0.00%,76,11.86%,0,0.00%,0,0.00%,26,4.06%,153,23.87%,1,0.16%,2,0.31%,641,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
5102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,282,"1,957",,0,0.00%,0,0.00%,45,16.13%,,3,1.08%,0,0.00%,,0,0.00%,0,0.00%,2,0.72%,119,42.65%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,19,6.81%,0,0.00%,0,0.00%,0,0.00%,90,32.26%,1,0.36%,0,0.00%,279,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,624,"1,957",,1,0.16%,0,0.00%,125,20.29%,,1,0.16%,3,0.49%,,0,0.00%,0,0.00%,19,3.08%,219,35.55%,0,0.00%,9,1.46%,0,0.00%,0,0.00%,69,11.20%,1,0.16%,0,0.00%,34,5.52%,129,20.94%,6,0.97%,0,0.00%,616,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,957",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,906,"1,957",,1,0.11%,0,0.00%,170,18.99%,,4,0.45%,3,0.34%,,0,0.00%,0,0.00%,21,2.35%,338,37.77%,0,0.00%,9,1.01%,0,0.00%,0,0.00%,88,9.83%,1,0.11%,0,0.00%,34,3.80%,219,24.47%,7,0.78%,0,0.00%,895,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
5103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,160,"1,578",,0,0.00%,0,0.00%,22,13.84%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,73,45.91%,0,0.00%,3,1.89%,0,0.00%,1,0.63%,13,8.18%,0,0.00%,0,0.00%,0,0.00%,47,29.56%,0,0.00%,0,0.00%,159,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,413,"1,578",,1,0.25%,0,0.00%,55,13.61%,,1,0.25%,3,0.74%,,0,0.00%,0,0.00%,12,2.97%,134,33.17%,0,0.00%,17,4.21%,0,0.00%,0,0.00%,56,13.86%,0,0.00%,0,0.00%,29,7.18%,95,23.51%,1,0.25%,0,0.00%,404,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,578",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,573,"1,578",,1,0.18%,0,0.00%,77,13.68%,,1,0.18%,3,0.53%,,0,0.00%,0,0.00%,12,2.13%,207,36.77%,0,0.00%,20,3.55%,0,0.00%,1,0.18%,69,12.26%,0,0.00%,0,0.00%,29,5.15%,142,25.22%,1,0.18%,0,0.00%,563,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
5104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,172,"1,536",,0,0.00%,0,0.00%,24,14.29%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,1,0.60%,78,46.43%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,17,10.12%,0,0.00%,0,0.00%,1,0.60%,46,27.38%,1,0.60%,0,0.00%,168,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,380,"1,536",,0,0.00%,0,0.00%,63,16.94%,,0,0.00%,3,0.81%,,0,0.00%,0,0.00%,7,1.88%,130,34.95%,0,0.00%,15,4.03%,0,0.00%,0,0.00%,38,10.22%,0,0.00%,0,0.00%,29,7.80%,83,22.31%,4,1.08%,0,0.00%,372,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,536",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,552,"1,536",,0,0.00%,0,0.00%,87,16.11%,,0,0.00%,3,0.56%,,0,0.00%,0,0.00%,8,1.48%,208,38.52%,0,0.00%,15,2.78%,0,0.00%,0,0.00%,55,10.19%,0,0.00%,0,0.00%,30,5.56%,129,23.89%,5,0.93%,0,0.00%,540,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
5105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,70,947,,0,0.00%,0,0.00%,9,12.86%,,0,0.00%,1,1.43%,,0,0.00%,0,0.00%,0,0.00%,15,21.43%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,7,10.00%,0,0.00%,0,0.00%,0,0.00%,37,52.86%,1,1.43%,0,0.00%,70,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,316,947,,0,0.00%,0,0.00%,41,13.31%,,0,0.00%,1,0.32%,,0,0.00%,0,0.00%,21,6.82%,45,14.61%,0,0.00%,7,2.27%,0,0.00%,0,0.00%,62,20.13%,0,0.00%,1,0.32%,27,8.77%,102,33.12%,1,0.32%,0,0.00%,308,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,947,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,386,947,,0,0.00%,0,0.00%,50,13.23%,,0,0.00%,2,0.53%,,0,0.00%,0,0.00%,21,5.56%,60,15.87%,0,0.00%,7,1.85%,0,0.00%,0,0.00%,69,18.25%,0,0.00%,1,0.26%,27,7.14%,139,36.77%,2,0.53%,0,0.00%,378,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
5106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,97,"1,171",,0,0.00%,0,0.00%,18,18.95%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,18,18.95%,0,0.00%,1,1.05%,0,0.00%,1,1.05%,9,9.47%,0,0.00%,0,0.00%,0,0.00%,46,48.42%,2,2.11%,0,0.00%,95,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,430,"1,171",,0,0.00%,0,0.00%,68,16.11%,,1,0.24%,3,0.71%,,0,0.00%,0,0.00%,34,8.06%,71,16.82%,0,0.00%,9,2.13%,0,0.00%,3,0.71%,82,19.43%,0,0.00%,0,0.00%,36,8.53%,114,27.01%,1,0.24%,0,0.00%,422,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,171",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,527,"1,171",,0,0.00%,0,0.00%,86,16.63%,,1,0.19%,3,0.58%,,0,0.00%,0,0.00%,34,6.58%,89,17.21%,0,0.00%,10,1.93%,0,0.00%,4,0.77%,91,17.60%,0,0.00%,0,0.00%,36,6.96%,160,30.95%,3,0.58%,0,0.00%,517,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
5107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,159,"1,393",,0,0.00%,0,0.00%,26,16.35%,,0,0.00%,1,0.63%,,0,0.00%,1,0.63%,3,1.89%,55,34.59%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,12,7.55%,0,0.00%,0,0.00%,0,0.00%,61,38.36%,0,0.00%,0,0.00%,159,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,484,"1,393",,0,0.00%,0,0.00%,73,15.24%,,1,0.21%,2,0.42%,,0,0.00%,0,0.00%,23,4.80%,100,20.88%,0,0.00%,9,1.88%,0,0.00%,0,0.00%,97,20.25%,0,0.00%,1,0.21%,39,8.14%,131,27.35%,3,0.63%,0,0.00%,479,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,393",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,643,"1,393",,0,0.00%,0,0.00%,99,15.52%,,1,0.16%,3,0.47%,,0,0.00%,1,0.16%,26,4.08%,155,24.29%,0,0.00%,9,1.41%,0,0.00%,0,0.00%,109,17.08%,0,0.00%,1,0.16%,39,6.11%,192,30.09%,3,0.47%,0,0.00%,638,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
5108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,172,"1,242",,0,0.00%,0,0.00%,36,20.93%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,1,0.58%,51,29.65%,1,0.58%,0,0.00%,0,0.00%,1,0.58%,12,6.98%,0,0.00%,0,0.00%,1,0.58%,69,40.12%,0,0.00%,0,0.00%,172,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,423,"1,242",,0,0.00%,0,0.00%,49,11.64%,,0,0.00%,2,0.48%,,0,0.00%,0,0.00%,21,4.99%,83,19.71%,0,0.00%,14,3.33%,0,0.00%,0,0.00%,76,18.05%,0,0.00%,0,0.00%,37,8.79%,139,33.02%,0,0.00%,0,0.00%,421,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,242",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,595,"1,242",,0,0.00%,0,0.00%,85,14.33%,,0,0.00%,2,0.34%,,0,0.00%,0,0.00%,22,3.71%,134,22.60%,1,0.17%,14,2.36%,0,0.00%,1,0.17%,88,14.84%,0,0.00%,0,0.00%,38,6.41%,208,35.08%,0,0.00%,0,0.00%,593,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
5109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,116,"1,057",,0,0.00%,0,0.00%,17,14.66%,,0,0.00%,1,0.86%,,0,0.00%,0,0.00%,2,1.72%,47,40.52%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5,4.31%,0,0.00%,0,0.00%,0,0.00%,44,37.93%,0,0.00%,0,0.00%,116,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,294,"1,057",,0,0.00%,0,0.00%,51,17.59%,,1,0.34%,3,1.03%,,0,0.00%,0,0.00%,9,3.10%,123,42.41%,1,0.34%,7,2.41%,0,0.00%,0,0.00%,27,9.31%,0,0.00%,0,0.00%,15,5.17%,51,17.59%,2,0.69%,0,0.00%,290,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,057",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,410,"1,057",,0,0.00%,0,0.00%,68,16.75%,,1,0.25%,4,0.99%,,0,0.00%,0,0.00%,11,2.71%,170,41.87%,1,0.25%,7,1.72%,0,0.00%,0,0.00%,32,7.88%,0,0.00%,0,0.00%,15,3.69%,95,23.40%,2,0.49%,0,0.00%,406,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,96,"1,144",,0,0.00%,0,0.00%,18,18.95%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,27,28.42%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,7,7.37%,0,0.00%,0,0.00%,0,0.00%,42,44.21%,1,1.05%,0,0.00%,95,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,344,"1,144",,0,0.00%,0,0.00%,50,14.58%,,0,0.00%,0,0.00%,,0,0.00%,1,0.29%,17,4.96%,87,25.36%,0,0.00%,3,0.87%,0,0.00%,0,0.00%,68,19.83%,0,0.00%,0,0.00%,29,8.45%,85,24.78%,3,0.87%,0,0.00%,343,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,144",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,440,"1,144",,0,0.00%,0,0.00%,68,15.53%,,0,0.00%,0,0.00%,,0,0.00%,1,0.23%,17,3.88%,114,26.03%,0,0.00%,3,0.68%,0,0.00%,0,0.00%,75,17.12%,0,0.00%,0,0.00%,29,6.62%,127,29.00%,4,0.91%,0,0.00%,438,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
5111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,169,"1,501",,0,0.00%,0,0.00%,27,16.17%,,0,0.00%,1,0.60%,,0,0.00%,0,0.00%,1,0.60%,51,30.54%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,13,7.78%,0,0.00%,2,1.20%,1,0.60%,69,41.32%,2,1.20%,0,0.00%,167,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,555,"1,501",,0,0.00%,0,0.00%,77,14.03%,,0,0.00%,1,0.18%,,0,0.00%,0,0.00%,36,6.56%,113,20.58%,0,0.00%,11,2.00%,0,0.00%,0,0.00%,106,19.31%,0,0.00%,0,0.00%,53,9.65%,147,26.78%,5,0.91%,0,0.00%,549,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,501",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,724,"1,501",,0,0.00%,0,0.00%,104,14.53%,,0,0.00%,2,0.28%,,0,0.00%,0,0.00%,37,5.17%,164,22.91%,0,0.00%,11,1.54%,0,0.00%,0,0.00%,119,16.62%,0,0.00%,2,0.28%,54,7.54%,216,30.17%,7,0.98%,0,0.00%,716,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
5112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,188,"1,528",,0,0.00%,0,0.00%,31,16.58%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,1,0.53%,51,27.27%,1,0.53%,0,0.00%,0,0.00%,0,0.00%,22,11.76%,0,0.00%,0,0.00%,0,0.00%,81,43.32%,0,0.00%,0,0.00%,187,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,575,"1,528",,2,0.35%,0,0.00%,91,15.88%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,38,6.63%,131,22.86%,0,0.00%,15,2.62%,0,0.00%,0,0.00%,80,13.96%,0,0.00%,1,0.17%,40,6.98%,169,29.49%,6,1.05%,0,0.00%,573,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,528",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,763,"1,528",,2,0.26%,0,0.00%,122,16.05%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,39,5.13%,182,23.95%,1,0.13%,15,1.97%,0,0.00%,0,0.00%,102,13.42%,0,0.00%,1,0.13%,40,5.26%,250,32.89%,6,0.79%,0,0.00%,760,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
5113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,190,"1,511",,0,0.00%,0,0.00%,26,13.83%,,0,0.00%,1,0.53%,,0,0.00%,0,0.00%,0,0.00%,73,38.83%,0,0.00%,1,0.53%,0,0.00%,0,0.00%,17,9.04%,0,0.00%,0,0.00%,0,0.00%,68,36.17%,2,1.06%,0,0.00%,188,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,565,"1,511",,0,0.00%,0,0.00%,101,18.04%,,1,0.18%,1,0.18%,,1,0.18%,0,0.00%,24,4.29%,146,26.07%,0,0.00%,15,2.68%,0,0.00%,0,0.00%,92,16.43%,1,0.18%,0,0.00%,47,8.39%,130,23.21%,1,0.18%,0,0.00%,560,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,511",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,755,"1,511",,0,0.00%,0,0.00%,127,16.98%,,1,0.13%,2,0.27%,,1,0.13%,0,0.00%,24,3.21%,219,29.28%,0,0.00%,16,2.14%,0,0.00%,0,0.00%,109,14.57%,1,0.13%,0,0.00%,47,6.28%,198,26.47%,3,0.40%,0,0.00%,748,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
5114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,184,"1,376",,0,0.00%,0,0.00%,35,19.13%,,0,0.00%,2,1.09%,,0,0.00%,0,0.00%,1,0.55%,57,31.15%,0,0.00%,0,0.00%,0,0.00%,1,0.55%,12,6.56%,0,0.00%,0,0.00%,0,0.00%,72,39.34%,3,1.64%,0,0.00%,183,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,466,"1,376",,0,0.00%,0,0.00%,89,19.22%,,1,0.22%,2,0.43%,,0,0.00%,0,0.00%,22,4.75%,130,28.08%,0,0.00%,12,2.59%,0,0.00%,0,0.00%,73,15.77%,0,0.00%,0,0.00%,31,6.70%,101,21.81%,2,0.43%,0,0.00%,463,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,376",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,650,"1,376",,0,0.00%,0,0.00%,124,19.20%,,1,0.15%,4,0.62%,,0,0.00%,0,0.00%,23,3.56%,187,28.95%,0,0.00%,12,1.86%,0,0.00%,1,0.15%,85,13.16%,0,0.00%,0,0.00%,31,4.80%,173,26.78%,5,0.77%,0,0.00%,646,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
5115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,173,"1,359",,0,0.00%,0,0.00%,45,26.32%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,42,24.56%,0,0.00%,1,0.58%,0,0.00%,0,0.00%,12,7.02%,0,0.00%,0,0.00%,0,0.00%,69,40.35%,2,1.17%,0,0.00%,171,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,519,"1,359",,0,0.00%,0,0.00%,84,16.22%,,0,0.00%,3,0.58%,,0,0.00%,0,0.00%,37,7.14%,125,24.13%,2,0.39%,12,2.32%,0,0.00%,0,0.00%,81,15.64%,0,0.00%,1,0.19%,44,8.49%,128,24.71%,1,0.19%,0,0.00%,518,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,359",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,692,"1,359",,0,0.00%,0,0.00%,129,18.72%,,0,0.00%,3,0.44%,,0,0.00%,0,0.00%,37,5.37%,167,24.24%,2,0.29%,13,1.89%,0,0.00%,0,0.00%,93,13.50%,0,0.00%,1,0.15%,44,6.39%,197,28.59%,3,0.44%,0,0.00%,689,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
5116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,149,"1,531",,0,0.00%,1,0.67%,21,14.09%,,0,0.00%,1,0.67%,,0,0.00%,0,0.00%,0,0.00%,57,38.26%,0,0.00%,1,0.67%,0,0.00%,0,0.00%,9,6.04%,0,0.00%,0,0.00%,0,0.00%,58,38.93%,1,0.67%,0,0.00%,149,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,507,"1,531",,0,0.00%,0,0.00%,95,18.85%,,0,0.00%,4,0.79%,,0,0.00%,0,0.00%,28,5.56%,131,25.99%,0,0.00%,5,0.99%,0,0.00%,1,0.20%,70,13.89%,0,0.00%,0,0.00%,36,7.14%,132,26.19%,2,0.40%,0,0.00%,504,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,531",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,656,"1,531",,0,0.00%,1,0.15%,116,17.76%,,0,0.00%,5,0.77%,,0,0.00%,0,0.00%,28,4.29%,188,28.79%,0,0.00%,6,0.92%,0,0.00%,1,0.15%,79,12.10%,0,0.00%,0,0.00%,36,5.51%,190,29.10%,3,0.46%,0,0.00%,653,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
5117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,185,"1,325",,0,0.00%,0,0.00%,34,18.68%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,58,31.87%,1,0.55%,1,0.55%,0,0.00%,0,0.00%,15,8.24%,0,0.00%,0,0.00%,0,0.00%,73,40.11%,0,0.00%,0,0.00%,182,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,466,"1,325",,0,0.00%,0,0.00%,91,19.87%,,0,0.00%,3,0.66%,,1,0.22%,0,0.00%,21,4.59%,136,29.69%,0,0.00%,8,1.75%,0,0.00%,0,0.00%,47,10.26%,0,0.00%,0,0.00%,36,7.86%,111,24.24%,4,0.87%,0,0.00%,458,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,325",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,651,"1,325",,0,0.00%,0,0.00%,125,19.53%,,0,0.00%,3,0.47%,,1,0.16%,0,0.00%,21,3.28%,194,30.31%,1,0.16%,9,1.41%,0,0.00%,0,0.00%,62,9.69%,0,0.00%,0,0.00%,36,5.63%,184,28.75%,4,0.63%,0,0.00%,640,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
5118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,139,"1,886",,0,0.00%,0,0.00%,12,8.63%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,1,0.72%,24,17.27%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,30,21.58%,0,0.00%,0,0.00%,0,0.00%,71,51.08%,1,0.72%,0,0.00%,139,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,508,"1,886",,0,0.00%,0,0.00%,34,6.79%,,0,0.00%,4,0.80%,,0,0.00%,0,0.00%,46,9.18%,55,10.98%,0,0.00%,15,2.99%,0,0.00%,0,0.00%,130,25.95%,0,0.00%,0,0.00%,46,9.18%,167,33.33%,4,0.80%,0,0.00%,501,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,886",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
