Page: 2 of 28,,,,,,,,,,,4/3/2020 3:21:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
President of the US DEM (Vote for  1)   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,,Kern County,,"JULIÁN CASTRO
(DEM) ",,"MICHAEL A. ELLINGER
(DEM) ",,"ELIZABETH WARREN
(DEM) ",,"MARIANNE WILLIAMSON
(DEM) ",,,"ANDREW YANG
(DEM) ",,"ROQUE ""ROCKY"" DE LA FUENTE III
(DEM) ",,,"JOHN K. DELANEY
(DEM) ",,"AMY KLOBUCHAR
(DEM) ",,"BERNIE SANDERS
(DEM) ",,"JOE SESTAK
(DEM) ",,"TOM STEYER
(DEM) ",,"DEVAL PATRICK
(DEM) ",,"MICHAEL BENNET
(DEM) ",,"MICHAEL R. BLOOMBERG
(DEM) ",,"MOSIE BOYD
(DEM) ",,"CORY BOOKER
(DEM) ",,"PETE BUTTIGIEG
(DEM) ",,"JOSEPH R. BIDEN
(DEM) ",,"TULSI GABBARD
(DEM) ",,"MARK STEWART GREENSTEIN
(DEM) ",,Total Votes,,,,,,,,,,,,,,
Mail Ballot ,52,Mail Ballot ,,1,12.50%,0,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,5,62.50%,0,0.00%,1,12.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,12.50%,0,0.00%,0,0.00%,8,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,52,Total,,1,12.50%,0,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,5,62.50%,0,0.00%,1,12.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,12.50%,0,0.00%,0,0.00%,8,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
7042441,,7042441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,0,Poll Place,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Vote by Mail,0,Vote by Mail,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Mail Ballot ,0,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,0,Total,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
7042517,,7042517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,6,Poll Place,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Vote by Mail,6,Vote by Mail,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Mail Ballot ,6,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,6,Total,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
7042521,,7042521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,31,Poll Place,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Vote by Mail,31,Vote by Mail,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Mail Ballot ,31,Mail Ballot ,,0,0.00%,0,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,31,Total,,0,0.00%,0,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
7042625,,7042625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,104,Poll Place,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Vote by Mail,104,Vote by Mail,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Mail Ballot ,104,Mail Ballot ,,0,0.00%,0,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,1,33.33%,0,0.00%,0,0.00%,1,33.33%,0,0.00%,0,0.00%,1,33.33%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,104,Total,,0,0.00%,0,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,1,33.33%,0,0.00%,0,0.00%,1,33.33%,0,0.00%,0,0.00%,1,33.33%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
7042783,,7042783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,0,Poll Place,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Vote by Mail,0,Vote by Mail,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Mail Ballot ,0,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,0,Total,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
7042784,,7042784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,2,Poll Place,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Vote by Mail,2,Vote by Mail,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Mail Ballot ,2,Mail Ballot ,,0,0.00%,0,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,100.00%,0,0.00%,0,0.00%,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,2,Total,,0,0.00%,0,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,100.00%,0,0.00%,0,0.00%,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
7042785,,7042785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,0,Poll Place,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Vote by Mail,0,Vote by Mail,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Mail Ballot ,0,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,0,Total,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
7042789,,7042789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,0,Poll Place,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Vote by Mail,0,Vote by Mail,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Mail Ballot ,0,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,0,Total,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
7043044,,7043044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,7,Poll Place,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Vote by Mail,7,Vote by Mail,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Mail Ballot ,7,Mail Ballot ,,0,0.00%,0,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,1,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,7,Total,,0,0.00%,0,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,1,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
7043295,,7043295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,569,Poll Place,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Vote by Mail,569,Vote by Mail,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Mail Ballot ,569,Mail Ballot ,,1,2.78%,0,0.00%,1,2.78%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,15,41.67%,0,0.00%,1,2.78%,0,0.00%,1,2.78%,13,36.11%,0,0.00%,0,0.00%,1,2.78%,3,8.33%,0,0.00%,0,0.00%,36,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,569,Total,,1,2.78%,0,0.00%,1,2.78%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,15,41.67%,0,0.00%,1,2.78%,0,0.00%,1,2.78%,13,36.11%,0,0.00%,0,0.00%,1,2.78%,3,8.33%,0,0.00%,0,0.00%,36,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
7043561,,7043561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,189,Poll Place,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Vote by Mail,189,Vote by Mail,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Mail Ballot ,189,Mail Ballot ,,0,0.00%,0,0.00%,0,0.00%,0,,0.00%,0,0.00%,1,,4.55%,0,0.00%,0,0.00%,10,45.45%,0,0.00%,2,9.09%,0,0.00%,0,0.00%,2,9.09%,0,0.00%,0,0.00%,0,0.00%,6,27.27%,1,4.55%,0,0.00%,22,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,189,Total,,0,0.00%,0,0.00%,0,0.00%,0,,0.00%,0,0.00%,1,,4.55%,0,0.00%,0,0.00%,10,45.45%,0,0.00%,2,9.09%,0,0.00%,0,0.00%,2,9.09%,0,0.00%,0,0.00%,0,0.00%,6,27.27%,1,4.55%,0,0.00%,22,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
7043576,,7043576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,0,Poll Place,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Vote by Mail,0,Vote by Mail,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Mail Ballot ,0,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,0,Total,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
7044120,,7044120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,202,Poll Place,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Vote by Mail,202,Vote by Mail,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Mail Ballot ,202,Mail Ballot ,,0,0.00%,0,0.00%,4,13.33%,0,,0.00%,1,3.33%,0,,0.00%,0,0.00%,0,0.00%,8,26.67%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,10.00%,0,0.00%,0,0.00%,1,3.33%,13,43.33%,0,0.00%,0,0.00%,30,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,202,Total,,0,0.00%,0,0.00%,4,13.33%,0,,0.00%,1,3.33%,0,,0.00%,0,0.00%,0,0.00%,8,26.67%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,10.00%,0,0.00%,0,0.00%,1,3.33%,13,43.33%,0,0.00%,0,0.00%,30,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
7044123,,7044123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,480,Poll Place,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Vote by Mail,480,Vote by Mail,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Mail Ballot ,480,Mail Ballot ,,0,0.00%,0,0.00%,10,12.66%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,3,3.80%,26,32.91%,0,0.00%,2,2.53%,0,0.00%,1,1.27%,9,11.39%,0,0.00%,0,0.00%,8,10.13%,20,25.32%,0,0.00%,0,0.00%,79,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,480,Total,,0,0.00%,0,0.00%,10,12.66%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,3,3.80%,26,32.91%,0,0.00%,2,2.53%,0,0.00%,1,1.27%,9,11.39%,0,0.00%,0,0.00%,8,10.13%,20,25.32%,0,0.00%,0,0.00%,79,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
7044133,,7044133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,0,Poll Place,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Vote by Mail,0,Vote by Mail,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Mail Ballot ,0,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,0,Total,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
7050025,,7050025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,70,Poll Place,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Vote by Mail,70,Vote by Mail,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Mail Ballot ,70,Mail Ballot ,,0,0.00%,0,0.00%,0,0.00%,0,,0.00%,1,16.67%,0,,0.00%,0,0.00%,0,0.00%,1,16.67%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,16.67%,0,0.00%,0,0.00%,0,0.00%,3,50.00%,0,0.00%,0,0.00%,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,70,Total,,0,0.00%,0,0.00%,0,0.00%,0,,0.00%,1,16.67%,0,,0.00%,0,0.00%,0,0.00%,1,16.67%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,16.67%,0,0.00%,0,0.00%,0,0.00%,3,50.00%,0,0.00%,0,0.00%,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
7050030,,7050030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,202,Poll Place,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Vote by Mail,202,Vote by Mail,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Mail Ballot ,202,Mail Ballot ,,0,0.00%,0,0.00%,1,2.70%,0,,0.00%,2,5.41%,0,,0.00%,0,0.00%,0,0.00%,18,48.65%,0,0.00%,1,2.70%,0,0.00%,0,0.00%,8,21.62%,0,0.00%,0,0.00%,0,0.00%,7,18.92%,0,0.00%,0,0.00%,37,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,202,Total,,0,0.00%,0,0.00%,1,2.70%,0,,0.00%,2,5.41%,0,,0.00%,0,0.00%,0,0.00%,18,48.65%,0,0.00%,1,2.70%,0,0.00%,0,0.00%,8,21.62%,0,0.00%,0,0.00%,0,0.00%,7,18.92%,0,0.00%,0,0.00%,37,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
7050032,,7050032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,8,Poll Place,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Vote by Mail,8,Vote by Mail,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Mail Ballot ,8,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,8,Total,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
7050212,,7050212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,0,Poll Place,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Vote by Mail,0,Vote by Mail,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Mail Ballot ,0,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,0,Total,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
7050220,,7050220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,174,Poll Place,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Vote by Mail,174,Vote by Mail,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Mail Ballot ,174,Mail Ballot ,,2,7.69%,0,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,8,30.77%,1,3.85%,2,7.69%,0,0.00%,0,0.00%,5,19.23%,0,0.00%,0,0.00%,0,0.00%,8,30.77%,0,0.00%,0,0.00%,26,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,174,Total,,2,7.69%,0,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,8,30.77%,1,3.85%,2,7.69%,0,0.00%,0,0.00%,5,19.23%,0,0.00%,0,0.00%,0,0.00%,8,30.77%,0,0.00%,0,0.00%,26,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
7050221,,7050221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,233,Poll Place,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Vote by Mail,233,Vote by Mail,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Mail Ballot ,233,Mail Ballot ,,0,0.00%,0,0.00%,2,8.33%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,13,54.17%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,4.17%,0,0.00%,0,0.00%,0,0.00%,8,33.33%,0,0.00%,0,0.00%,24,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,233,Total,,0,0.00%,0,0.00%,2,8.33%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,13,54.17%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,4.17%,0,0.00%,0,0.00%,0,0.00%,8,33.33%,0,0.00%,0,0.00%,24,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
7050504,,7050504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,48,Poll Place,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Vote by Mail,48,Vote by Mail,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
